,lat,lon,speed,lon_acc,lat_acc,time,dist_to_start,dist_to_end,veh_id,segment_id,temp_distance,one_axis_trajectory,closest_traffic_light,distance_to_traffic_light,normalized_trajectory,closest_cell
9985,37.97757,23.737538,40.377,-0.1996,0.2633,60.92,322.24127770789084,160.18695462424552,44.0,10.0,0.1017170624403985,2642450.6428459813,4,29.764614976483458,524.2565742316285,cell_1
9986,37.977567,23.737541,40.348,-0.2037,0.2715,60.96,322.6643907595784,159.8415564442572,44.0,10.0,0.0480604573787063,2642450.976804454,4,29.349812280304786,524.9747339228107,cell_1
9987,37.977563,23.737543,40.3179,-0.2144,0.2786,61.0,323.1325625135655,159.38933431081284,44.0,10.0,0.1503537329039445,2642451.199443436,4,28.934109129381213,525.4535070516008,cell_1
9988,37.97756,23.737546,40.2863,-0.2248,0.2849,61.04,323.55566869499387,159.04456106719985,44.0,10.0,0.0966971281936457,2642451.533401908,4,28.5203588370158,526.1716667407803,cell_1
9989,37.977557,23.737549,40.2536,-0.2286,0.2901,61.08,323.9787792081757,158.7001756851004,44.0,10.0,0.043040521366012,2642451.8673603805,4,28.106934612331987,526.8898264319627,cell_1
9990,37.977553,23.737552,40.2209,-0.2257,0.2944,61.12,324.49493712302456,158.24507416630863,44.0,10.0,0.0584160886140309,2642452.2013188526,4,27.62547944995201,527.6079861221436,cell_2
9991,37.97755,23.737554,40.1882,-0.2294,0.2976,61.16,324.8700612269174,157.90484670022786,44.0,10.0,0.0916771921809514,2642452.423957834,4,27.28262291458863,528.0867592489309,cell_2
9992,37.977547,23.737557,40.1544,-0.2397,0.2999,61.2,325.2931692199746,157.5614946352228,44.0,10.0,0.0380205864130207,2642452.7579163066,4,26.870804738234437,528.8049189401132,cell_2
9993,37.977543,23.73756,40.1191,-0.2499,0.3012,61.24,325.8093287487247,157.10741623443428,44.0,10.0,0.0533961547214329,2642453.0918747787,4,26.392491736434312,529.5230786302941,cell_2
9994,37.97754,23.737562,40.0829,-0.2533,0.3015,61.28,326.1844552867486,156.76786995678978,44.0,10.0,0.0866572586418178,2642453.3145137606,4,26.052336550526128,530.0018517580828,cell_2
9995,37.977536,23.737565,40.0467,-0.25,0.3008,61.32,326.70061908991147,156.31443815034984,44.0,10.0,0.1020328248315144,2642453.648472233,4,25.576731912602224,530.7200114492651,cell_2
9996,37.977533,23.737568,40.0104,-0.2533,0.2991,61.36,327.1237219045321,155.97253991523507,44.0,10.0,0.0483762197691319,2642453.9824307053,4,25.16768180333877,531.438171139446,cell_2
9997,37.97753,23.73757,39.9732,-0.2633,0.2964,61.4,327.49885085538995,155.6336908386374,44.0,10.0,0.0816373236874457,2642454.205069687,4,24.83060709519376,531.9169442672347,cell_2
9998,37.977526,23.737573,39.9346,-0.2731,0.2927,61.44,328.0150162296544,155.18132025646685,44.0,10.0,0.0970128905847616,2642454.5390281593,4,24.35898511117453,532.6351039574156,cell_2
9999,37.977523,23.737576,39.8951,-0.2762,0.288,61.48,328.43811657383463,154.84050637046298,44.0,10.0,0.0433562848147598,2642454.872986632,4,23.952304211986537,533.3532636485979,cell_2
10000,37.977519,23.737578,39.8556,-0.2725,0.2824,61.52,328.9063212431473,154.3912139269001,44.0,10.0,0.1456495624607846,2642455.095625614,4,23.556345981383657,533.8320367763866,cell_2
10001,37.977516,23.737581,39.8166,-0.2693,0.2757,61.56,329.3294148459065,154.05108559590786,44.0,10.0,0.0919929556317702,2642455.4295840855,4,23.151742457639827,534.5501964655662,cell_2
10002,37.977513,23.737584,39.7775,-0.2727,0.2681,61.6,329.75251273765826,153.71137841132713,44.0,10.0,0.0383363498624588,2642455.7635425576,4,22.74787088495128,535.2683561557471,cell_2
10003,37.977509,23.737586,39.7374,-0.2852,0.2595,61.64,330.2207237444109,153.26280489904013,44.0,10.0,0.1406296271550192,2642455.98618154,4,22.35814868324022,535.7471292845371,cell_3
10004,37.977506,23.737589,39.6952,-0.3005,0.2499,61.68,330.6438149233201,152.92379809689777,44.0,10.0,0.0869730217384818,2642456.320140012,4,21.956736664154153,536.4652889747181,cell_3
10005,37.977502,23.737592,39.6506,-0.3184,0.2393,61.72,331.159985037143,152.47404441685828,44.0,10.0,0.1023485889899525,2642456.654098484,4,21.497554392794083,537.183448664899,cell_3
10006,37.977499,23.737594,39.6035,-0.3366,0.228,61.76,331.5351276710129,152.13738537366677,44.0,10.0,0.1356096932610404,2642456.876737466,4,21.173669320166383,537.6622217926877,cell_3
10007,37.977496,23.737597,39.5537,-0.3551,0.2164,61.8,331.9582164436611,151.79952342065783,44.0,10.0,0.0819530860785616,2642457.210695938,4,20.7760793867492,538.3803814828685,cell_3
10008,37.977492,23.737599,39.5005,-0.383,0.2047,61.84,332.4264508970911,151.3521584405192,44.0,10.0,0.1842463637252767,2642457.4333349196,4,20.39959784664528,538.8591546096559,cell_3
